,message_id,timestamp,time_in_seconds,author,source,state,message,time_text,message_type,emotes
10,a50fd40c-2253-4f3b-99ce-487971b809e0,1624587947085000,5.385,"{'display_name': 'mare2503', 'id': 680635064, 'name': 'mare2503', 'type': 'user', 'bio': None, 'created_at': 1619482429769621, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/5f14a3fe-1174-499a-af7a-4fd126d4e7b0-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/5f14a3fe-1174-499a-af7a-4fd126d4e7b0-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}]}",chat,published,ya,0:05,text_message,
11,b369b189-adbd-4e7d-86a8-08d60012936a,1624587947208000,5.508,"{'display_name': 'cl1vew', 'id': 502132163, 'name': 'cl1vew', 'type': 'user', 'bio': None, 'created_at': 1584837657682331, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/14c0868d-44c5-4ab1-bdbe-e0bcb113a4a2-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/14c0868d-44c5-4ab1-bdbe-e0bcb113a4a2-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}], 'colour': '#FF0000'}",chat,published,que paso xd,0:05,text_message,
12,965e4757-706e-4afb-a0e0-14392c2a31dc,1624587947417000,5.717,"{'display_name': 'ezequiellema', 'id': 500129398, 'name': 'ezequiellema', 'type': 'user', 'bio': None, 'created_at': 1584409277949952, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/0aad6255-3bfe-4260-a8b5-9e4a27a458ee-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/0aad6255-3bfe-4260-a8b5-9e4a27a458ee-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}]}",chat,published,va,0:05,text_message,
13,fa071d95-34f8-4617-bb9b-93250b9fc770,1624587947493000,5.793,"{'display_name': 'candedd', 'id': 229020333, 'name': 'candedd', 'type': 'user', 'bio': None, 'created_at': 1528243133462420, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/76511120-406f-40ea-962f-f3f5fa7cb86a-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/76511120-406f-40ea-962f-f3f5fa7cb86a-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}], 'badges': [{'name': 'subscriber', 'version': 3, 'title': '3-Month Subscriber', 'description': '3-Month Subscriber', 'click_action': 'subscribe_to_channel', 'click_url': '', 'icons': [{'url': 'https://static-cdn.jtvnw.net/badges/v1/4a63c272-dac4-4b57-81ac-5d1e47894e2d/1', 'width': 18, 'height': 18, 'id': '18x18'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/4a63c272-dac4-4b57-81ac-5d1e47894e2d/2', 'width': 36, 'height': 36, 'id': '36x36'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/4a63c272-dac4-4b57-81ac-5d1e47894e2d/3', 'width': 72, 'height': 72, 'id': '72x72'}], 'id': '4a63c272-dac4-4b57-81ac-5d1e47894e2d'}], 'colour': '#FF4500'}",chat,published,no fue fibertel fue la facha,0:05,text_message,
14,be9a94ae-9eb4-43d2-bdcb-c4a3039e6318,1624587947671000,5.971,"{'display_name': 'StradivariusJ', 'id': 213414021, 'name': 'stradivariusj', 'type': 'user', 'bio': None, 'created_at': 1523405722948553, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/1f4d262d-d08f-4486-9fd9-e7bc8ae45e68-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/1f4d262d-d08f-4486-9fd9-e7bc8ae45e68-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}], 'badges': [{'name': 'subscriber', 'version': 6, 'title': '6-Month Subscriber', 'description': '6-Month Subscriber', 'click_action': 'subscribe_to_channel', 'click_url': '', 'icons': [{'url': 'https://static-cdn.jtvnw.net/badges/v1/49ebf584-e5ad-420d-92ee-1c0dabd4aa74/1', 'width': 18, 'height': 18, 'id': '18x18'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/49ebf584-e5ad-420d-92ee-1c0dabd4aa74/2', 'width': 36, 'height': 36, 'id': '36x36'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/49ebf584-e5ad-420d-92ee-1c0dabd4aa74/3', 'width': 72, 'height': 72, 'id': '72x72'}], 'id': '49ebf584-e5ad-420d-92ee-1c0dabd4aa74'}], 'colour': '#FFF100'}",chat,published,F5,0:05,text_message,
15,fac361eb-6dbd-437c-955e-e004d8c30b9f,1624587947935000,6.235,"{'display_name': 'faku54', 'id': 184115372, 'name': 'faku54', 'type': 'user', 'bio': None, 'created_at': 1512240901080448, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/afcd770b-d914-4e81-bfb0-97c6cc12cf35-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/afcd770b-d914-4e81-bfb0-97c6cc12cf35-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}], 'badges': [{'name': 'subscriber', 'version': 3, 'title': '3-Month Subscriber', 'description': '3-Month Subscriber', 'click_action': 'subscribe_to_channel', 'click_url': '', 'icons': [{'url': 'https://static-cdn.jtvnw.net/badges/v1/4a63c272-dac4-4b57-81ac-5d1e47894e2d/1', 'width': 18, 'height': 18, 'id': '18x18'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/4a63c272-dac4-4b57-81ac-5d1e47894e2d/2', 'width': 36, 'height': 36, 'id': '36x36'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/4a63c272-dac4-4b57-81ac-5d1e47894e2d/3', 'width': 72, 'height': 72, 'id': '72x72'}], 'id': '4a63c272-dac4-4b57-81ac-5d1e47894e2d'}], 'colour': '#8400FF'}",chat,published,ta at,0:06,text_message,
16,4d2bc956-1356-45e0-ae03-52474e089ae6,1624587947949000,6.249,"{'display_name': 'lnn99', 'id': 233071338, 'name': 'lnn99', 'type': 'user', 'bio': None, 'created_at': 1529603387735867, 'images': [{'url': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/cdd517fe-def4-11e9-948e-784f43822e80-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/user-default-pictures-uv/cdd517fe-def4-11e9-948e-784f43822e80-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}]}",chat,published,jajdjajd,0:06,text_message,
17,ca2811fd-8ce6-4723-a101-f4c903448eeb,1624587947981000,6.281,"{'display_name': 'MatthewTWM', 'id': 262162543, 'name': 'matthewtwm', 'type': 'user', 'bio': 'WINDINGO Y JODA', 'created_at': 1537762028863540, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/e5b1269a-0ce5-4ca9-b7fe-b056a7455e2a-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/e5b1269a-0ce5-4ca9-b7fe-b056a7455e2a-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}], 'badges': [{'name': 'subscriber', 'version': 0, 'title': 'Subscriber', 'description': 'Subscriber', 'click_action': 'subscribe_to_channel', 'click_url': '', 'icons': [{'url': 'https://static-cdn.jtvnw.net/badges/v1/63fa7b57-1a91-4a68-9831-ae398e6eb834/1', 'width': 18, 'height': 18, 'id': '18x18'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/63fa7b57-1a91-4a68-9831-ae398e6eb834/2', 'width': 36, 'height': 36, 'id': '36x36'}, {'url': 'https://static-cdn.jtvnw.net/badges/v1/63fa7b57-1a91-4a68-9831-ae398e6eb834/3', 'width': 72, 'height': 72, 'id': '72x72'}], 'id': '63fa7b57-1a91-4a68-9831-ae398e6eb834'}], 'colour': '#2C5188'}",chat,published,@fersilva11 sos pauperrimo,0:06,text_message,
18,d44c1525-f11d-4620-88fc-dfe4c30ac7c2,1624587948012000,6.312,"{'display_name': 'ByCito05', 'id': 136142290, 'name': 'bycito05', 'type': 'user', 'bio': None, 'created_at': 1475500988735372, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/801c45b5-a08f-49d5-84fd-6d884d3eaf31-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/801c45b5-a08f-49d5-84fd-6d884d3eaf31-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}]}",chat,published,efe,0:06,text_message,
19,933819fd-76ae-4ef8-b99f-843d7d4cb37c,1624587948060000,6.36,"{'display_name': 'redtier666', 'id': 171034610, 'name': 'redtier666', 'type': 'user', 'bio': None, 'created_at': 1503460554390309, 'images': [{'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/ea390cb2-0de2-40cc-9302-d52a1afa4cdb-profile_image-300x300.png', 'width': 300, 'height': 300, 'id': '300x300'}, {'url': 'https://static-cdn.jtvnw.net/jtv_user_pictures/ea390cb2-0de2-40cc-9302-d52a1afa4cdb-profile_image-70x70.png', 'width': 70, 'height': 70, 'id': '70x70'}], 'colour': '#FF0000'}",chat,published,f,0:06,text_message,
